customer,label,model,routine_weekly,routine_total_4w,forecast_total_4w,p_occurrence_week,rmsse,mase
GoldKey Technology Corporation,교체형,sba,129.28263291333744,517.1305316533497,40812.49957450386,0.040041891392035796,0.027622758269376203,0.1182921921593157
"G.Skill International Ent. Co., Ltd",교체형,sba,82.36572442480039,329.46289769920156,876064.419264011,0.45759816922659174,0.13847933169814927,0.2246346576868625
GOLDKEY TECHNOLOGY CORPORATION,교체형,sba,5.792049114331722,23.16819645732689,389281.9988406261,0.16184572403036643,0.2061838038789933,0.38877312919208845
PATRIOT MEMORY INC.,교체형,tsb,0.00503229613338079,0.02012918453352316,251909.2599764488,0.13918278096333053,0.16056157803765514,0.35333713558783136
Skyrich View (HK) Limited,교체형,tsb,2.6143383112275917e-11,1.0457353244910367e-10,7.350741189188409e-06,2.707014087624449e-12,2.7054396215474046e-11,7.00492524482413e-11
"Hosin Global Electronics Co., Ltd",교체형,tsb,0.0,0.0,35995.53326649991,0.008775725806682828,0.023057862241929548,0.04568413208324685
ALL-THE-WAY EXPRESS LIMITED,교체형,sba,0.0,0.0,1292891.0705532832,0.540704768782929,0.07354783829045304,0.10362299077603133
Patriot Memory Inc.,교체형,sba,0.0,0.0,202654.37342489246,0.5534106304244303,0.02419809828495861,0.03954579860092824
"World Pacific Industrial H.K., Ltd.",교체형,tsb,0.0,0.0,0.0007304055747950029,6.953917754192987e-11,5.13226970793766e-10,1.154142764387125e-09
YHG SUPPLY CHAIN (HONG KONG),교체형,croston,0.0,0.0,2385926.944722727,0.4075986402027954,0.0951493160229659,0.19288014010181986
REALTECH SEMICONDUCTOR TECHNOLOGY,교체형,tsb,0.0,0.0,373.072690390319,0.0001995553079445985,0.0006478984756415066,0.0014369042358144176
Eternal International (HK) Ltd.,교체형,sba,0.0,0.0,474200.6281333139,0.49608375423575457,0.05874749085946246,0.22261383575359864
TEC LOGISTICS COMPANY,교체형,sba,0.0,0.0,710157.0408518873,0.1868188682698228,0.1017232127651768,0.26940930729839274
MAX LOGISTICS LIMITED,교체형,tsb,0.0,0.0,3286020.4143898212,0.0666936056498295,0.9968503387914651,7.429196441821433
BANG TAI INTERNATIONAL LOGISTICS CO,교체형,sba,0.0,0.0,102577.07039331214,0.06557045005863207,0.09503765670738482,0.2551563655978603
SF Supply Chain (Hong Kong) Limited,교체형,sba,0.0,0.0,91070.1486322699,0.03743372617233374,0.023409989886266813,0.06586340039090245
PNG HK LTD,교체형,tsb,0.0,0.0,0.026279628007412268,1.0851393264223471e-08,3.8087734155384665e-08,1.2216084416868388e-07
"XINRONGDA CO., Limited",교체형,tsb,0.0,0.0,17419.257166162828,0.0050412143502912826,0.02540774294107007,0.08103127250970714
"SC GLOBAL TRANS (HK) CO., LIMITED",교체형,sba,0.0,0.0,73452.71573555839,0.03762672588663415,0.050495554163542226,0.13213083254798522
REALTECH SEMICONDUCTOR TECHNOLOGY L,교체형,sba,0.0,0.0,55706.851153812466,0.025936911997020595,0.00015816396275491714,0.00046812471947028526
EVERBOND ELECTRONICS LIMITED,교체형,tsb,0.0,0.0,189375.10969448014,0.2766381953392226,0.019214565099032882,0.04756685819673621
Ringson Limited,교체형,sba,0.0,0.0,57129.51822492101,0.18436391581706746,0.06049340023450079,0.1278123997233514
"HONGKONG SHICHUANGYI CO., LIMITED",교체형,sba,0.0,0.0,39669.568613195544,0.2422167109647248,0.059929442211288785,0.14981775365133537
RUNZHE INTERNATIONAL LIMITED,교체형,tsb,0.0,0.0,4057.1506284619927,0.0006282001005756067,0.012312105071107053,0.0691660898590987
Leadmax Technology International,교체형,tsb,0.0,0.0,0.008815150445684504,6.168284661230448e-09,2.8635449876886957e-08,1.3819610533246775e-07
Eudar Technology Inc.,교체형,tsb,0.0,0.0,90.31537315698083,0.00010662169132881006,0.0006437698977680489,0.0015861003505793687
